ID_FISCALIZACAO_ELETRONICA;DESC_LOC_CONTROLADOR_TRANSITO;DESC_TIPO_CONTROLADOR_TRANSITO;VELOCIDADE_REGULAMENTAR;SENTIDO;SENTIDO_FISCALIZADO;NUM_SERIE_ATUAL;COD_SECUNDARIA;GEOMETRIA;;
48;Av. do Contorno, 629;Controlador Eletrônico de Velocidade;60;PraÃ§a da EstaÃ§Ã£o-RodoviÃ¡ria;único;3300;;POINT (611314.17 7797658.78);;
49;Av. do Contorno, 4045 e oposto ao 4045;Controlador Eletrônico de Velocidade;60;Savassi-Santa EfigÃªnia e Santa EfigÃªnia-Savassi;Ambos;3301;;POINT (612815.29 7795956.83);;
50;Av. do Contorno, oposto ao 5445;Controlador Eletrônico de Velocidade;60;SÃ£o Lucas-Savassi;único;3268;;POINT (612174.53 7794879.38);;
51;Av. do Contorno, 10730;Controlador Eletrônico de Velocidade;60;Barro Preto-Centro;único;3265;;POINT (609920.35 7797270.19);;
52;Av. do Contorno, 10812;Controlador Eletrônico de Velocidade;60;Centro-Barro Preto;único;3264;;POINT (610005.11 7797283.62);;
53;Av. dos Andradas, 3470 e oposto ao 3470;Controlador Eletrônico de Velocidade;60;Bairro-Centro e Centro-Bairro;Ambos;3302;;POINT (613863.96 7797171.59);;
54;Av. dos Andradas, 4020 e oposto ao 4020;Controlador Eletrônico de Velocidade;60;Bairro-Centro e Centro-Bairro;Ambos;3303;;POINT (614152.27 7798098.83);;
55;Av. dos Andradas, 7110 e oposto ao 7110;Controlador Eletrônico de Velocidade;60;Bairro-Centro e Centro-Bairro;Ambos;3263;;POINT (615152.12 7798825.51);;
56;Av. Eliseu Resende esquina com R. Lotus;Controlador Eletrônico de Velocidade;60;R. Ãšrsula Paulino-Av. Teresa Cristina e Av. Teresa;Ambos;3372;;POINT (605030.52 7792095.12);;
57;Av. Heráclito Mourão de Miranda, 2474;Controlador Eletrônico de Velocidade;60;Pampulha-AlÃ­pio de Melo;único;3304;;POINT (604697.04 7802053.87);;
58;Av. Heráclito Mourão de Miranda, 2491;Controlador Eletrônico de Velocidade;60;Pampulha-AlÃ­pio de Melo;único;3269;;POINT (604704.66 7802095.80);;
61;Av. José Cândido da Silveira, 509;Controlador Eletrônico de Velocidade;60;Bairro-Centro;único;3258;;POINT (612796.22 7799950.74);;
62;Av. José Cândido da Silveira, 1500;Controlador Eletrônico de Velocidade;60;Centro-Bairro;único;3270;;POINT (613464.46 7800959.88);;
64;Av. Olinto Meireles, 250 e oposto ao 250;Controlador Eletrônico de Velocidade;60;Bairro-Centro e Centro-Bairro;Ambos;3278;;POINT (603203.48 7791154.87);;
